dept,id,balance,accessLevel,isActive,firstName,lastName,email,address,city,state,zip
DEPT,21,90,FACULTY,True,Faculty,1,,,,,
DEPT,22,90,FACULTY,True,Faculty,2,,,,,
DEPT,23,100,FACULTY,True,Faculty,3,,,,,
DEPT,24,100,FACULTY,True,Faculty,4,,,,,
DEPT,25,90,FACULTY,True,Faculty,5,,,,,
DEPT,26,90,FACULTY,True,Faculty,6,,,,,
DEPT,27,80,FACULTY,True,Faculty,7,,,,,
DEPT,28,100,FACULTY,True,Faculty,8,,,,,
DEPT,29,60,FACULTY,True,Faculty,9,,,,,
DEPT,30,100,FACULTY,True,Faculty,10,,,,,
CSB,1,80,STUDENT,True,Student,1,,,,,
CSB,10,80,STUDENT,True,Student,10,,,,,
CSB,2,80,STUDENT,True,Student,2,,,,,
CSB,3,100,STUDENT,True,Student,3,,,,,
CSB,4,90,STUDENT,True,Student,4,,,,,
CSB,5,90,STUDENT,True,Student,5,,,,,
CSB,6,100,STUDENT,True,Student,6,,,,,
CSB,7,100,STUDENT,True,Student,7,,,,,
CSB,8,80,STUDENT,True,Student,8,,,,,
CSB,9,100,STUDENT,True,Student,9,,,,,
CSB,aar219@lehigh.edu,100,STUDENT,True,Aaron,Rotem,,,,,
string,mma219@lehigh.edu,95,TOTAL,True,string,string,string,string,string,string,string
